"ticker","price","% Held by Insiders 1","% Held by Institutions 1","200-Day Moving Average 3","50-Day Moving Average 3","52 Week High 3","52 Week Low 3","52-Week Change 3","Avg Vol (10 day) 3","Avg Vol (3 month) 3","Beta (3Y Monthly) ","Book Value Per Share (mrq)","Current Ratio (mrq)","Diluted EPS (ttm)","EBITDA ","Enterprise Value 3","Enterprise Value/EBITDA 6","Enterprise Value/Revenue 3","Float ","Forward P/E 1","Gross Profit (ttm)","Levered Free Cash Flow (ttm)","Market Cap (intraday) 5","Net Income Avi to Common (ttm)","Operating Cash Flow (ttm)","Operating Margin (ttm)","Payout Ratio 4","PEG Ratio (5 yr expected) 1","Price/Book (mrq)","Price/Sales (ttm)","Profit Margin ","Quarterly Revenue Growth (yoy)","Return on Assets (ttm)","Return on Equity (ttm)","Revenue (ttm)","Revenue Per Share (ttm)","S&P500 52-Week Change 3","Shares Outstanding 5","Shares Short (Mar 15, 2019) 4","Shares Short (prior month Feb 15, 2019) 4","Short % of Shares Outstanding (Mar 15, 2019) 4","Short Ratio (Mar 15, 2019) 4","Total Cash (mrq)","Total Cash Per Share (mrq)","Total Debt (mrq)","Total Debt/Equity (mrq)","Trailing P/E "
"MMM","217.42","0.0774","0.1048","201.22","208.71","221.69","176.87","-0.0192","1440000","2110000","1.20","16.99","1.89","8.89","8.36e+09","1.3674e+11","16.36","4.17","575430000","19.16","1.611e+10","4.15e+09","1.2521e+11","5.35e+09","6.44e+09","0.2097","0.6119","3.08","12.80","3.82","0.1633","-0.006","0.1153","0.4996","3.276e+10","55.67","0.0786","575900000","9810000","8860000","0.017","4.04","3.23e+09","5.61","1.473e+10","149.55","24.46"
"ABT","78.01","0.0072","0.7649","72.82","78.56","80.74","56.81","0.3192","4800000","5790000","0.88","17.39","1.62","1.33","7.2e+09","1.527e+11","21.21","4.99","1.74e+09","21.67","1.815e+10","4.89e+09","1.3702e+11","2.32e+09","6.3e+09","0.1283","0.855","2.28","4.49","4.48","0.0774","0.023","0.0342","0.0755","3.058e+10","17.39","0.0786","1.76e+09","16020000","15220000","0.0091","2.73","4.09e+09","2.33","1.957e+10","63.69","58.70"
"ACN","178.64","0.0023","0.7246","159.47","168.62","179.36","132.63","0.1779","1820000","1980000","1.14","20.91","1.35","6.87","6.68e+09","1.0989e+11","16.46","2.69","636490000","22.44","1.244e+10","5.36e+09","1.1394e+11","4.47e+09","6.48e+09","0.1491","0.4061","2.75","8.54","2.79","0.1095","0.055","0.1506","0.3756","4.084e+10","63.87","0.0786","637830000","5320000","5060000","0.0083","2.79","4.47e+09","7.01","24120000","0.18","26.00"
"ATVI","47.28","0.0115","0.9154","52.87","44.98","84.68","39.85","-0.2913","5160000","12410000","0.79","14.88","2.31","2.35","2.51e+09","3.441e+10","13.73","4.59","755150000","18.40","4.98e+09","1.24e+09","3.611e+10","1.81e+09","1.79e+09","0.2664","0.1447","2.94","3.18","4.82","0.2417","0.165","0.0684","0.1742","7.5e+09","9.84","0.0786","763830000","17170000","13800000","0.0225","1.43","4.38e+09","5.73","2.67e+09","23.52","20.12"
"ADBE","271.86","0.0028","0.8893","248.94","263.73","277.61","204.95","0.2003","1940000","2930000","1.03","20.21","0.97","5.39","3.25e+09","1.3356e+11","41.13","13.98","486400000","28.11","7.84e+09","2.85e+09","1.3265e+11","2.68e+09","4.05e+09","0.2965","0","1.54","13.45","13.89","0.2808","0.251","0.1027","0.2898","9.55e+09","19.51","0.0786","487950000","4310000","6300000","0.0088","1.31","3.23e+09","6.61","4.14e+09","41.90","50.44"
"AMD","27.85","0.008","0.6697","22.80","25.28","34.14","9.56","1.7542","61650000","78550000","4.05","1.26","1.78","0.32","6.66e+08","2.809e+10","42.18","4.34","928440000","28.71","2.49e+09","-113620000","3.012e+10","3.37e+08","3.4e+07","0.0766","0","1.26","22.10","4.65","0.052","0.059","0.0765","0.362","6.47e+09","6.59","0.0786","1.08e+09","114670000","115970000","0.1061","1.39","1.16e+09","1.15","1.25e+09","98.74","87.03"
"AAP","180.11","0.0032","1.0153","165.37","165.22","186.15","102.15","0.7","872710","1200000","1.29","49.28","1.57","5.73","950330000","1.298e+10","13.66","1.36","70940000","19.04","4.23e+09","581970000","1.283e+10","423850000","811030000","0.0743","0.0419","1.27","3.65","1.34","0.0442","0.033","0.0508","0.1217","9.58e+09","129.95","0.0786","71260000","2520000","2400000","0.0351","1.8","896530000","12.58","1.05e+09","29.46","31.43"
"AES","18.02","0.0035","0.9739","16.01","17.90","18.52","11.36","0.5627","3820000","5710000","0.60","4.84","1.14","1.81","3.38e+09","3.221e+10","9.54","3.00","659950000","12.43","2.57e+09","100500000","1.194e+10","9.85e+08","2.42e+09","0.2209","0.3514","1.79","3.72","1.11","0.112","-0.008","0.0452","0.2553","1.074e+10","16.22","0.0786","662400000","14080000","10730000","0.0213","2.36","1.48e+09","2.23","1.93e+10","340.66","9.97"
"AMG","112.34","0.0087","1.0064","110.46","108.43","174.50","88.47","-0.3555","523540","541150","1.45","66.49","2.06","4.52","904400000","8.5e+09","9.40","3.58","51410000","7.22","1.39e+09","613770000","5.79e+09","243600000","1.14e+09","0.3227","0.2655","1.74","1.69","2.43","0.1024","-0.066","0.0567","0.1028","2.38e+09","44.37","0.0786","51500000","971040","912900","0.0187","2.14","684800000","13.16","1.83e+09","36.82","24.85"
"AFL","49.51","0.0177","0.7052","46.52","49.34","50.66","41.45","0.1027","3040000","3310000","0.52","31.06","0.55","3.77","4.25e+09","3.949e+10","9.28","1.82","741400000","11.18","7.19e+09","474380000","3.708e+10","2.92e+09","6.01e+09","0.1933","0.2759","1.88","1.59","1.70","0.1342","-0.055","0.0189","0.1215","2.176e+10","28.27","0.0786","748850000","10760000","1.1e+07","0.0144","3.53","4.49e+09","5.99","6.83e+09","29.11","13.13"
"A","80.98","0.0036","0.8824","72.24","80.33","82.27","60.42","0.1894","1290000","1690000","1.27","15.84","3.39","3.51","1.2e+09","2.545e+10","21.19","5.10","316660000","23.75","2.69e+09","626880000","2.571e+10","1.14e+09","1.08e+09","0.1981","0.1731","2.48","5.11","5.16","0.2286","0.06","0.07","0.2384","4.99e+09","15.60","0.0786","317520000","4370000","3980000","0.0138","2.24","2.06e+09","6.48","1.8e+09","35.70","23.06"
"APD","194.16","0.0023","0.8915","167.24","186.42","195.36","148.44","0.17","824990","1110000","0.64","49.55","2.21","7.65","2.98e+09","4.378e+10","14.67","4.90","219060000","20.92","2.74e+09","699510000","4.264e+10","1.65e+09","2.64e+09","0.2219","0.5898","2.00","3.92","4.77","0.1892","0.003","0.0664","0.1566","8.94e+09","40.71","0.0786","219630000","2950000","2580000","0.0134","2.69","2.96e+09","13.49","3.78e+09","33.72","25.37"
"AKAM","77.05","0.0312","0.9102","67.81","72.05","83.08","57.18","0.0529","867630","1250000","0.18","19.59","2.09","1.76","720350000","1.224e+10","17.00","4.51","158960000","16.71","1.76e+09","581700000","1.263e+10","298370000","1.01e+09","0.1594","0","1.20","3.93","4.65","0.1099","0.083","0.0535","0.091","2.71e+09","16.22","0.0786","163860000","7110000","6610000","0.0483","6.59","1.89e+09","11.59","1.56e+09","48.89","43.78"
"ALK","60.63","0.0041","0.8973","62.77","57.35","74.83","53.39","-0.0843","1440000","1730000","1.15","30.45","0.61","3.52","1.2e+09","8.34e+09","6.97","1.01","122660000","8.80","2.21e+09","-14500000","7.49e+09","4.37e+08","1.2e+09","0.0964","0.3636","0.88","1.99","0.91","0.0529","0.063","0.046","0.1212","8.26e+09","67.06","0.0786","123610000","7840000","6530000","0.0637","4.9","1.24e+09","10.06","2.11e+09","56.25","17.22"
"ALB","83.66","0.0049","0.9855","88.18","85.47","108.74","71.89","-0.1462","1250000","1410000","1.08","33.95","1.69","6.34","954460000","1.017e+10","10.66","3.01","105090000","12.34","1.23e+09","-51590000","8.86e+09","693560000","546160000","0.2233","0.2114","1.00","2.46","2.62","0.2055","0.075","0.0615","0.1951","3.37e+09","31.13","0.0786","105890000","12670000","11150000","0.1198","7.73","555320000","5.25","1.71e+09","45.36","13.20"
"ARE","144.35","0.0129","1.0161","127.88","140.59","144.46","109.04","0.1673","451010","677830","0.85","65.56","1.46","3.52","841540000","2.226e+10","26.45","16.67","111110000","54.89","953880000","687400000","1.627e+10","363980000","570340000","0.289","1.0597","743.50","2.20","12.19","0.2841","0.141","0.0181","0.056","1.34e+09","12.96","0.0786","112730000","2180000","1580000","0.0193","2.82","236790000","2.1","5.48e+09","69.40","41.01"
"ALXN","136.2","0.0031","0.9677","122.88","135.13","141.86","92.56","0.2552","1050000","1530000","1.75","41.01","2.88","0.35","2e+09","3.208e+10","16.04","7.76","2.23e+08","12.98","3.76e+09","1.06e+09","3.055e+10","77600000","4.26e+08","0.3921","0","1.03","3.32","7.39","0.0188","0.241","0.0736","0.0086","4.13e+09","18.55","0.0786","224300000","4040000","4010000","0.0181","2.66","1.58e+09","7.09","3.22e+09","35.18","391.38"
"ALLE","94.57","0.0029","0.9961","87.22","90.34","95.27","73.85","0.0984","597070","689290","1.19","6.88","1.79","4.54","609400000","1.01e+10","16.57","3.70","94120000","17.88","1.17e+09","337180000","8.93e+09","434900000","457800000","0.1972","0.185","2.22","13.75","3.27","0.1592","0.127","0.1258","0.8219","2.73e+09","28.75","0.0786","94460000","5e+06","4810000","0.053","5.76","283800000","3","1.44e+09","220.92","20.83"
"ADS","180.93","0.0283","0.9717","184.47","172.57","250.27","142.58","-0.1653","516490","631440","2.11","43.67","2.15","17.49","1.86e+09","3.091e+10","16.58","3.97","46340000","7.27","2.07e+09","793810000","9.59e+09","963100000","2.75e+09","0.1936","0.1304","1.04","4.14","1.23","0.1236","-0.024","0.0309","0.46","7.79e+09","141.92","0.0786","5.3e+07","2490000","2120000","0.0471","4.49","3.86e+09","72.89","2.518e+10","1,079.85","10.34"
"LNT","46.81","0.0018","0.7804","44.47","46.61","47.91","38.22","0.1212","951940","1580000","0.29","19.43","0.48","2.19","1.2e+09","1.737e+10","14.53","4.91","235620000","19.42","1.31e+09","-655160000","1.105e+10","512100000","527700000","0.1918","0.6119","3.54","2.41","3.13","0.1449","0.02","0.0286","0.1117","3.53e+09","15.13","0.0786","236070000","9470000","9360000","0.0401","5.55","20900000","0.09","5.94e+09","124.20","21.35"
"ALL","97.01","0.0038","0.8128","90.68","94.50","102.73","77.00","-0.0176","1380000","2130000","0.70","58.38","0.72","5.96","3.66e+09","3.706e+10","10.11","0.93","330600000","9.86","9.13e+09","-1.286e+10","3.22e+10","2.1e+09","5.18e+09","0.0792","0.3087","0.86","1.66","0.81","0.0566","-0.058","0.0175","0.1027","3.982e+10","114.48","0.0786","331960000","5190000","5980000","0.0156","2.58","3.53e+09","10.62","6.45e+09","30.26","16.28"
