"Ticker","Line_Item","X2018","X2017","X2016","X2015"
"MMM","Total Revenue","$32,765,000","$31,657,000","$30,109,000","$30,274,000"
"MMM","Cost of Revenue","$16,682,000","$16,055,000","$15,118,000","$15,383,000"
"MMM","Gross Profit","$16,083,000","$15,602,000","$14,991,000","$14,891,000"
"MMM","Research and Development","$1,821,000","$1,870,000","$1,764,000","$1,763,000"
"MMM","Sales, General and Admin.","$7,602,000","$6,626,000","$6,311,000","$6,229,000"
"MMM","Non-Recurring Items","$0","$0","$0","$0"
"MMM","Other Operating Items","$0","$0","$0","$0"
"MMM","Operating Income","$7,207,000","$7,692,000","$7,027,000","$6,946,000"
"MMM","Add'l income/expense items","$340,000","$442,000","$137,000","($76,000)"
"MMM","Earnings Before Interest and Tax","$7,000,000","$7,548,000","$7,053,000","$6,823,000"
"MMM","Interest Expense","$0","$0","$0","$0"
"MMM","Earnings Before Tax","$7,000,000","$7,548,000","$7,053,000","$6,823,000"
"MMM","Income Tax","$1,637,000","$2,679,000","$1,995,000","$1,982,000"
"MMM","Minority Interest","($14,000)","($11,000)","($8,000)","($8,000)"
"MMM","Equity Earnings/Loss Unconsolidated Subsidiary","$0","$0","$0","$0"
"MMM","Net Income-Cont. Operations","$5,349,000","$4,858,000","$5,050,000","$4,833,000"
"MMM","Net Income","$5,349,000","$4,858,000","$5,050,000","$4,833,000"
"MMM","Net Income Applicable to Common Shareholders","$5,349,000","$4,858,000","$5,050,000","$4,833,000"
"ABT","Total Revenue","$30,578,000","$27,390,000","$20,853,000","$20,405,000"
"ABT","Cost of Revenue","$12,706,000","$12,409,000","$9,094,000","$8,747,000"
"ABT","Gross Profit","$17,872,000","$14,981,000","$11,759,000","$11,658,000"
"ABT","Research and Development","$2,300,000","$2,260,000","$1,447,000","$1,405,000"
"ABT","Sales, General and Admin.","$9,744,000","$9,182,000","$6,736,000","$6,785,000"
"ABT","Non-Recurring Items","$0","$0","$0","$0"
"ABT","Other Operating Items","$2,178,000","$1,975,000","$550,000","$601,000"
"ABT","Operating Income","$3,650,000","$1,564,000","$3,026,000","$2,867,000"
"ABT","Add'l income/expense items","$49,000","$1,571,000","($1,182,000)","$479,000"
"ABT","Earnings Before Interest and Tax","$3,699,000","$3,135,000","$1,844,000","$3,346,000"
"ABT","Interest Expense","$826,000","$904,000","$431,000","$163,000"
"ABT","Earnings Before Tax","$2,873,000","$2,231,000","$1,413,000","$3,183,000"
"ABT","Income Tax","$539,000","$1,878,000","$350,000","$577,000"
"ABT","Minority Interest","$0","$0","$0","$0"
"ABT","Equity Earnings/Loss Unconsolidated Subsidiary","$0","$0","$0","$0"
"ABT","Net Income-Cont. Operations","$2,334,000","$353,000","$1,063,000","$2,606,000"
"ABT","Net Income","$2,368,000","$477,000","$1,400,000","$4,423,000"
"ABT","Net Income Applicable to Common Shareholders","$2,368,000","$477,000","$1,400,000","$4,423,000"
"ABBV","Total Revenue","$32,753,000","$28,216,000","$25,638,000","$22,859,000"
"ABBV","Cost of Revenue","$7,718,000","$7,042,000","$5,832,000","$4,500,000"
"ABBV","Gross Profit","$25,035,000","$21,174,000","$19,806,000","$18,359,000"
"ABBV","Research and Development","$10,329,000","$5,007,000","$4,385,000","$4,285,000"
"ABBV","Sales, General and Admin.","$7,899,000","$6,295,000","$5,881,000","$6,387,000"
"ABBV","Non-Recurring Items","$424,000","$327,000","$200,000","$150,000"
"ABBV","Other Operating Items","$0","$0","$0","$0"
"ABBV","Operating Income","$6,383,000","$9,545,000","$9,340,000","$7,537,000"
